Year,Region,Postcode,Data Item,Sum of Value
2015,Fisher,2611,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2015,Fisher,2611,Number of Businesses by Industry - Retail trade (no.),8
2015,Fisher,2611,Number of Businesses by Industry - Total (no.),126
2015,Fisher,2611,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",13
2015,Fisher,2611,Number of Businesses by Industry - Wholesale trade (no.),4
2014,Florey,2615,Number of Businesses by Industry - Accommodation and food services (no.),12
2014,Florey,2615,Number of Businesses by Industry - Administrative and support services (no.),5
2014,Florey,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Florey,2615,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Florey,2615,Number of Businesses by Industry - Construction (no.),53
2014,Florey,2615,Number of Businesses by Industry - Currently unknown (no.),3
2014,Florey,2615,Number of Businesses by Industry - Education and training (no.),3
2014,Florey,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Florey,2615,Number of Businesses by Industry - Financial and insurance services (no.),19
2014,Florey,2615,Number of Businesses by Industry - Health care and social assistance (no.),9
2014,Florey,2615,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Florey,2615,Number of Businesses by Industry - Manufacturing (no.),5
2014,Florey,2615,Number of Businesses by Industry - Mining (no.),0
2014,Florey,2615,Number of Businesses by Industry - Other services (no.),7
2014,Florey,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",33
2014,Florey,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Florey,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",13
2014,Florey,2615,Number of Businesses by Industry - Retail trade (no.),8
2014,Florey,2615,Number of Businesses by Industry - Total (no.),206
2014,Florey,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",26
2014,Florey,2615,Number of Businesses by Industry - Wholesale trade (no.),4
2015,Florey,2615,Number of Businesses by Industry - Accommodation and food services (no.),12
2015,Florey,2615,Number of Businesses by Industry - Administrative and support services (no.),5
2015,Florey,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Florey,2615,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Florey,2615,Number of Businesses by Industry - Construction (no.),51
2015,Florey,2615,Number of Businesses by Industry - Currently unknown (no.),3
2015,Florey,2615,Number of Businesses by Industry - Education and training (no.),0
2015,Florey,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Florey,2615,Number of Businesses by Industry - Financial and insurance services (no.),19
2015,Florey,2615,Number of Businesses by Industry - Health care and social assistance (no.),8
2015,Florey,2615,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Florey,2615,Number of Businesses by Industry - Manufacturing (no.),5
2015,Florey,2615,Number of Businesses by Industry - Mining (no.),0
2015,Florey,2615,Number of Businesses by Industry - Other services (no.),7
2015,Florey,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",35
2015,Florey,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Florey,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",16
2015,Florey,2615,Number of Businesses by Industry - Retail trade (no.),8
2015,Florey,2615,Number of Businesses by Industry - Total (no.),200
2015,Florey,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",23
2015,Florey,2615,Number of Businesses by Industry - Wholesale trade (no.),5
2014,Flynn (ACT),2615,Number of Businesses by Industry - Accommodation and food services (no.),4
2014,Flynn (ACT),2615,Number of Businesses by Industry - Administrative and support services (no.),10
2014,Flynn (ACT),2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2014,Flynn (ACT),2615,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Flynn (ACT),2615,Number of Businesses by Industry - Construction (no.),61
2014,Flynn (ACT),2615,Number of Businesses by Industry - Currently unknown (no.),0
2014,Flynn (ACT),2615,Number of Businesses by Industry - Education and training (no.),3
2014,Flynn (ACT),2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Flynn (ACT),2615,Number of Businesses by Industry - Financial and insurance services (no.),6
2014,Flynn (ACT),2615,Number of Businesses by Industry - Health care and social assistance (no.),4
2014,Flynn (ACT),2615,Number of Businesses by Industry - Information media and telecommunications (no.),6
2014,Flynn (ACT),2615,Number of Businesses by Industry - Manufacturing (no.),3
2014,Flynn (ACT),2615,Number of Businesses by Industry - Mining (no.),0
2014,Flynn (ACT),2615,Number of Businesses by Industry - Other services (no.),5
2014,Flynn (ACT),2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",26
2014,Flynn (ACT),2615,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Flynn (ACT),2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",14
2014,Flynn (ACT),2615,Number of Businesses by Industry - Retail trade (no.),10
2014,Flynn (ACT),2615,Number of Businesses by Industry - Total (no.),169
2014,Flynn (ACT),2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",8
2014,Flynn (ACT),2615,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Flynn (ACT),2615,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Flynn (ACT),2615,Number of Businesses by Industry - Administrative and support services (no.),13
2015,Flynn (ACT),2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",8
2015,Flynn (ACT),2615,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Flynn (ACT),2615,Number of Businesses by Industry - Construction (no.),61
2015,Flynn (ACT),2615,Number of Businesses by Industry - Currently unknown (no.),0
2015,Flynn (ACT),2615,Number of Businesses by Industry - Education and training (no.),3
2015,Flynn (ACT),2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Flynn (ACT),2615,Number of Businesses by Industry - Financial and insurance services (no.),6
2015,Flynn (ACT),2615,Number of Businesses by Industry - Health care and social assistance (no.),5
2015,Flynn (ACT),2615,Number of Businesses by Industry - Information media and telecommunications (no.),6
2015,Flynn (ACT),2615,Number of Businesses by Industry - Manufacturing (no.),0
2015,Flynn (ACT),2615,Number of Businesses by Industry - Mining (no.),0
2015,Flynn (ACT),2615,Number of Businesses by Industry - Other services (no.),6
2015,Flynn (ACT),2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",21
2015,Flynn (ACT),2615,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Flynn (ACT),2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",12
2015,Flynn (ACT),2615,Number of Businesses by Industry - Retail trade (no.),8
2015,Flynn (ACT),2615,Number of Businesses by Industry - Total (no.),160
2015,Flynn (ACT),2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",5
2015,Flynn (ACT),2615,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Forde,2914,Number of Businesses by Industry - Accommodation and food services (no.),11
2014,Forde,2914,Number of Businesses by Industry - Administrative and support services (no.),10
2014,Forde,2914,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Forde,2914,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Forde,2914,Number of Businesses by Industry - Construction (no.),86
2014,Forde,2914,Number of Businesses by Industry - Currently unknown (no.),4
2014,Forde,2914,Number of Businesses by Industry - Education and training (no.),0
2014,Forde,2914,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Forde,2914,Number of Businesses by Industry - Financial and insurance services (no.),7
2014,Forde,2914,Number of Businesses by Industry - Health care and social assistance (no.),13
2014,Forde,2914,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Forde,2914,Number of Businesses by Industry - Manufacturing (no.),0
2014,Forde,2914,Number of Businesses by Industry - Mining (no.),0
2014,Forde,2914,Number of Businesses by Industry - Other services (no.),3
2014,Forde,2914,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",27
2014,Forde,2914,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Forde,2914,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2014,Forde,2914,Number of Businesses by Industry - Retail trade (no.),10
2014,Forde,2914,Number of Businesses by Industry - Total (no.),198
2014,Forde,2914,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",12
2014,Forde,2914,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Forde,2914,Number of Businesses by Industry - Accommodation and food services (no.),14
2015,Forde,2914,Number of Businesses by Industry - Administrative and support services (no.),12
2015,Forde,2914,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Forde,2914,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Forde,2914,Number of Businesses by Industry - Construction (no.),87
2015,Forde,2914,Number of Businesses by Industry - Currently unknown (no.),3
2015,Forde,2914,Number of Businesses by Industry - Education and training (no.),0
2015,Forde,2914,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Forde,2914,Number of Businesses by Industry - Financial and insurance services (no.),11
2015,Forde,2914,Number of Businesses by Industry - Health care and social assistance (no.),14
2015,Forde,2914,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Forde,2914,Number of Businesses by Industry - Manufacturing (no.),0
2015,Forde,2914,Number of Businesses by Industry - Mining (no.),0
2015,Forde,2914,Number of Businesses by Industry - Other services (no.),4
2015,Forde,2914,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",33
2015,Forde,2914,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Forde,2914,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",6
2015,Forde,2914,Number of Businesses by Industry - Retail trade (no.),11
2015,Forde,2914,Number of Businesses by Industry - Total (no.),218
2015,Forde,2914,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",14
2015,Forde,2914,Number of Businesses by Industry - Wholesale trade (no.),5
2014,Forrest,2603,Number of Businesses by Industry - Accommodation and food services (no.),16
2014,Forrest,2603,Number of Businesses by Industry - Administrative and support services (no.),9
2014,Forrest,2603,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",7
2014,Forrest,2603,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Forrest,2603,Number of Businesses by Industry - Construction (no.),34
2014,Forrest,2603,Number of Businesses by Industry - Currently unknown (no.),7
2014,Forrest,2603,Number of Businesses by Industry - Education and training (no.),7
2014,Forrest,2603,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Forrest,2603,Number of Businesses by Industry - Financial and insurance services (no.),46
2014,Forrest,2603,Number of Businesses by Industry - Health care and social assistance (no.),41
2014,Forrest,2603,Number of Businesses by Industry - Information media and telecommunications (no.),6
2014,Forrest,2603,Number of Businesses by Industry - Manufacturing (no.),4
2014,Forrest,2603,Number of Businesses by Industry - Mining (no.),0
2014,Forrest,2603,Number of Businesses by Industry - Other services (no.),6
2014,Forrest,2603,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",69
2014,Forrest,2603,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Forrest,2603,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",61
2014,Forrest,2603,Number of Businesses by Industry - Retail trade (no.),6
2014,Forrest,2603,Number of Businesses by Industry - Total (no.),335
2014,Forrest,2603,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",6
2014,Forrest,2603,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Forrest,2603,Number of Businesses by Industry - Accommodation and food services (no.),14
2015,Forrest,2603,Number of Businesses by Industry - Administrative and support services (no.),10
2015,Forrest,2603,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2015,Forrest,2603,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Forrest,2603,Number of Businesses by Industry - Construction (no.),35
2015,Forrest,2603,Number of Businesses by Industry - Currently unknown (no.),7
2015,Forrest,2603,Number of Businesses by Industry - Education and training (no.),8
2015,Forrest,2603,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Forrest,2603,Number of Businesses by Industry - Financial and insurance services (no.),50
2015,Forrest,2603,Number of Businesses by Industry - Health care and social assistance (no.),44
2015,Forrest,2603,Number of Businesses by Industry - Information media and telecommunications (no.),5
2015,Forrest,2603,Number of Businesses by Industry - Manufacturing (no.),4
2015,Forrest,2603,Number of Businesses by Industry - Mining (no.),0
2015,Forrest,2603,Number of Businesses by Industry - Other services (no.),6
2015,Forrest,2603,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",66
2015,Forrest,2603,Number of Businesses by Industry - Public administration and safety (no.),3
2015,Forrest,2603,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",60
2015,Forrest,2603,Number of Businesses by Industry - Retail trade (no.),5
2015,Forrest,2603,Number of Businesses by Industry - Total (no.),337
2015,Forrest,2603,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",7
2015,Forrest,2603,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Franklin,2913,Number of Businesses by Industry - Accommodation and food services (no.),9
2014,Franklin,2913,Number of Businesses by Industry - Administrative and support services (no.),16
2014,Franklin,2913,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Franklin,2913,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Franklin,2913,Number of Businesses by Industry - Construction (no.),55
2014,Franklin,2913,Number of Businesses by Industry - Currently unknown (no.),6
2014,Franklin,2913,Number of Businesses by Industry - Education and training (no.),0
2014,Franklin,2913,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Franklin,2913,Number of Businesses by Industry - Financial and insurance services (no.),8
2014,Franklin,2913,Number of Businesses by Industry - Health care and social assistance (no.),11
2014,Franklin,2913,Number of Businesses by Industry - Information media and telecommunications (no.),4
2014,Franklin,2913,Number of Businesses by Industry - Manufacturing (no.),3
2014,Franklin,2913,Number of Businesses by Industry - Mining (no.),0
2014,Franklin,2913,Number of Businesses by Industry - Other services (no.),6
2014,Franklin,2913,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",35
2014,Franklin,2913,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Franklin,2913,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",9
2014,Franklin,2913,Number of Businesses by Industry - Retail trade (no.),12
2014,Franklin,2913,Number of Businesses by Industry - Total (no.),210
2014,Franklin,2913,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",26
2014,Franklin,2913,Number of Businesses by Industry - Wholesale trade (no.),6
2015,Franklin,2913,Number of Businesses by Industry - Accommodation and food services (no.),13
2015,Franklin,2913,Number of Businesses by Industry - Administrative and support services (no.),13
2015,Franklin,2913,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Franklin,2913,Number of Businesses by Industry - Arts and recreation services (no.),5
2015,Franklin,2913,Number of Businesses by Industry - Construction (no.),71
2015,Franklin,2913,Number of Businesses by Industry - Currently unknown (no.),7
2015,Franklin,2913,Number of Businesses by Industry - Education and training (no.),3
2015,Franklin,2913,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Franklin,2913,Number of Businesses by Industry - Financial and insurance services (no.),13
2015,Franklin,2913,Number of Businesses by Industry - Health care and social assistance (no.),15
2015,Franklin,2913,Number of Businesses by Industry - Information media and telecommunications (no.),4
2015,Franklin,2913,Number of Businesses by Industry - Manufacturing (no.),4
2015,Franklin,2913,Number of Businesses by Industry - Mining (no.),0
2015,Franklin,2913,Number of Businesses by Industry - Other services (no.),6
2015,Franklin,2913,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",39
2015,Franklin,2913,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Franklin,2913,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",15
2015,Franklin,2913,Number of Businesses by Industry - Retail trade (no.),12
2015,Franklin,2913,Number of Businesses by Industry - Total (no.),260
2015,Franklin,2913,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",27
2015,Franklin,2913,Number of Businesses by Industry - Wholesale trade (no.),10
2014,Fraser,2615,Number of Businesses by Industry - Accommodation and food services (no.),5
2014,Fraser,2615,Number of Businesses by Industry - Administrative and support services (no.),6
2014,Fraser,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Fraser,2615,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Fraser,2615,Number of Businesses by Industry - Construction (no.),37
2014,Fraser,2615,Number of Businesses by Industry - Currently unknown (no.),3
2014,Fraser,2615,Number of Businesses by Industry - Education and training (no.),0
2014,Fraser,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Fraser,2615,Number of Businesses by Industry - Financial and insurance services (no.),8
2014,Fraser,2615,Number of Businesses by Industry - Health care and social assistance (no.),4
2014,Fraser,2615,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Fraser,2615,Number of Businesses by Industry - Manufacturing (no.),0
2014,Fraser,2615,Number of Businesses by Industry - Mining (no.),0
2014,Fraser,2615,Number of Businesses by Industry - Other services (no.),3
2014,Fraser,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",19
2014,Fraser,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Fraser,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",3
2014,Fraser,2615,Number of Businesses by Industry - Retail trade (no.),0
2014,Fraser,2615,Number of Businesses by Industry - Total (no.),108
2014,Fraser,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",11
2014,Fraser,2615,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Fraser,2615,Number of Businesses by Industry - Accommodation and food services (no.),5
2015,Fraser,2615,Number of Businesses by Industry - Administrative and support services (no.),5
2015,Fraser,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Fraser,2615,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Fraser,2615,Number of Businesses by Industry - Construction (no.),37
2015,Fraser,2615,Number of Businesses by Industry - Currently unknown (no.),0
2015,Fraser,2615,Number of Businesses by Industry - Education and training (no.),0
2015,Fraser,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Fraser,2615,Number of Businesses by Industry - Financial and insurance services (no.),7
2015,Fraser,2615,Number of Businesses by Industry - Health care and social assistance (no.),4
2015,Fraser,2615,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Fraser,2615,Number of Businesses by Industry - Manufacturing (no.),0
2015,Fraser,2615,Number of Businesses by Industry - Mining (no.),0
2015,Fraser,2615,Number of Businesses by Industry - Other services (no.),0
2015,Fraser,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",20
2015,Fraser,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Fraser,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Fraser,2615,Number of Businesses by Industry - Retail trade (no.),0
2015,Fraser,2615,Number of Businesses by Industry - Total (no.),97
2015,Fraser,2615,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",10
2015,Fraser,2615,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Accommodation and food services (no.),65
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Administrative and support services (no.),68
2014,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",29
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Arts and recreation services (no.),12
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Construction (no.),272
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Currently unknown (no.),32
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Education and training (no.),14
2014,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",9
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Financial and insurance services (no.),111
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Health care and social assistance (no.),12
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Information media and telecommunications (no.),16
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Manufacturing (no.),118
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Mining (no.),3
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Other services (no.),109
2014,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",195
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Public administration and safety (no.),9
2014,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",245
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Retail trade (no.),236
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Total (no.),1702
2014,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",38
2014,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Wholesale trade (no.),109
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Accommodation and food services (no.),66
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Administrative and support services (no.),71
2015,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",26
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Arts and recreation services (no.),12
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Construction (no.),272
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Currently unknown (no.),34
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Education and training (no.),13
2015,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",8
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Financial and insurance services (no.),113
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Health care and social assistance (no.),11
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Information media and telecommunications (no.),16
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Manufacturing (no.),116
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Mining (no.),3
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Other services (no.),104
2015,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",194
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Public administration and safety (no.),8
2015,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",252
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Retail trade (no.),226
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Total (no.),1686
2015,Fyshwick - Pialligo - Hume,2609,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",35
2015,Fyshwick - Pialligo - Hume,2609,Number of Businesses by Industry - Wholesale trade (no.),106
2014,Garran,2605,Number of Businesses by Industry - Accommodation and food services (no.),10
2014,Garran,2605,Number of Businesses by Industry - Administrative and support services (no.),10
2014,Garran,2605,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2014,Garran,2605,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Garran,2605,Number of Businesses by Industry - Construction (no.),26
2014,Garran,2605,Number of Businesses by Industry - Currently unknown (no.),6
2014,Garran,2605,Number of Businesses by Industry - Education and training (no.),5
2014,Garran,2605,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",3
2014,Garran,2605,Number of Businesses by Industry - Financial and insurance services (no.),25
2014,Garran,2605,Number of Businesses by Industry - Health care and social assistance (no.),111
2014,Garran,2605,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Garran,2605,Number of Businesses by Industry - Manufacturing (no.),4
2014,Garran,2605,Number of Businesses by Industry - Mining (no.),0
2014,Garran,2605,Number of Businesses by Industry - Other services (no.),5
2014,Garran,2605,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",53
2014,Garran,2605,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Garran,2605,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",37
2014,Garran,2605,Number of Businesses by Industry - Retail trade (no.),13
2014,Garran,2605,Number of Businesses by Industry - Total (no.),326
2014,Garran,2605,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",6
2014,Garran,2605,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Garran,2605,Number of Businesses by Industry - Accommodation and food services (no.),11
2015,Garran,2605,Number of Businesses by Industry - Administrative and support services (no.),9
2015,Garran,2605,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2015,Garran,2605,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Garran,2605,Number of Businesses by Industry - Construction (no.),23
2015,Garran,2605,Number of Businesses by Industry - Currently unknown (no.),5
2015,Garran,2605,Number of Businesses by Industry - Education and training (no.),5
2015,Garran,2605,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Garran,2605,Number of Businesses by Industry - Financial and insurance services (no.),25
2015,Garran,2605,Number of Businesses by Industry - Health care and social assistance (no.),112
2015,Garran,2605,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Garran,2605,Number of Businesses by Industry - Manufacturing (no.),3
2015,Garran,2605,Number of Businesses by Industry - Mining (no.),0
2015,Garran,2605,Number of Businesses by Industry - Other services (no.),6
2015,Garran,2605,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",57
2015,Garran,2605,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Garran,2605,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",37
2015,Garran,2605,Number of Businesses by Industry - Retail trade (no.),14
2015,Garran,2605,Number of Businesses by Industry - Total (no.),321
2015,Garran,2605,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",5
2015,Garran,2605,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Gilmore,2905,Number of Businesses by Industry - Accommodation and food services (no.),4
2014,Gilmore,2905,Number of Businesses by Industry - Administrative and support services (no.),6
2014,Gilmore,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Gilmore,2905,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Gilmore,2905,Number of Businesses by Industry - Construction (no.),52
2014,Gilmore,2905,Number of Businesses by Industry - Currently unknown (no.),0
2014,Gilmore,2905,Number of Businesses by Industry - Education and training (no.),0
2014,Gilmore,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Gilmore,2905,Number of Businesses by Industry - Financial and insurance services (no.),5
2014,Gilmore,2905,Number of Businesses by Industry - Health care and social assistance (no.),6
2014,Gilmore,2905,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Gilmore,2905,Number of Businesses by Industry - Manufacturing (no.),4
2014,Gilmore,2905,Number of Businesses by Industry - Mining (no.),0
2014,Gilmore,2905,Number of Businesses by Industry - Other services (no.),8
2014,Gilmore,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",18
2014,Gilmore,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Gilmore,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",4
2014,Gilmore,2905,Number of Businesses by Industry - Retail trade (no.),4
2014,Gilmore,2905,Number of Businesses by Industry - Total (no.),127
2014,Gilmore,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",13
2014,Gilmore,2905,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Gilmore,2905,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Gilmore,2905,Number of Businesses by Industry - Administrative and support services (no.),7
